2015-01-05: 原买24025819, 原卖36750289, 调整后买36750289，卖36750289
2015-03-19: 原买96126402, 原卖103781274, 调整后买103781274，卖103781274
2015-03-20: 原买82838781, 原卖86740200, 调整后买86740200，卖86740200
2015-03-23: 原买60974015, 原卖77158962, 调整后买77158962，卖77158962
2015-03-24: 原买84808368, 原卖105785604, 调整后买105785604，卖105785604
2015-03-25: 原买124815687, 原卖124815687, 调整后买124815687，卖124815687
2015-03-26: 原买87491185, 原卖83480799, 调整后买87491185，卖87491185
2015-03-27: 原买93963823, 原卖102811608, 调整后买102811608，卖102811608
2015-03-30: 原买94190888, 原卖103990194, 调整后买103990194，卖103990194
2015-03-31: 原买121300105, 原卖121300105, 调整后买121300105，卖121300105
2015-04-01: 原买130222112, 原卖149447246, 调整后买149447246，卖149447246
2015-04-02: 原买143781375, 原卖143781375, 调整后买143781375，卖143781375
2015-04-03: 原买134008428, 原卖139342412, 调整后买139342412，卖139342412
2015-04-07: 原买128401799, 原卖133724950, 调整后买133724950，卖133724950
2015-04-08: 原买114991617, 原卖131222200, 调整后买131222200，卖131222200
2015-04-09: 原买137494064, 原卖148412084, 调整后买148412084，卖148412084
2015-04-10: 原买172040138, 原卖177756829, 调整后买177756829，卖177756829
2015-04-13: 原买136956067, 原卖154649714, 调整后买154649714，卖154649714
2015-04-14: 原买134133596, 原卖146234112, 调整后买146234112，卖146234112
2015-04-15: 原买142240516, 原卖154360672, 调整后买154360672，卖154360672
2015-04-16: 原买128960270, 原卖135682023, 调整后买135682023，卖135682023
2015-04-17: 原买159410484, 原卖165998264, 调整后买165998264，卖165998264
2015-04-20: 原买146830681, 原卖153421086, 调整后买153421086，卖153421086
2015-04-21: 原买188720366, 原卖195676834, 调整后买195676834，卖195676834
2015-04-22: 原买180370393, 原卖209154832, 调整后买209154832，卖209154832
2015-04-23: 原买177213248, 原卖200124157, 调整后买200124157，卖200124157
2015-04-24: 原买173995749, 原卖203931255, 调整后买203931255，卖203931255
2015-04-27: 原买231653365, 原卖239329571, 调整后买239329571，卖239329571
2015-04-28: 原买162868350, 原卖170497383, 调整后买170497383，卖170497383
2015-04-29: 原买181115988, 原卖212195715, 调整后买212195715，卖212195715
2015-04-30: 原买212391119, 原卖212391119, 调整后买212391119，卖212391119
2015-05-04: 原买259888037, 原卖284002878, 调整后买284002878，卖284002878
2015-05-05: 原买209854910, 原卖202631619, 调整后买209854910，卖209854910
2015-05-06: 原买223726337, 原卖223726337, 调整后买223726337，卖223726337
2015-05-07: 原买207116678, 原卖207116678, 调整后买207116678，卖207116678
2015-05-08: 原买214120052, 原卖238701918, 调整后买238701918，卖238701918
2015-05-11: 原买174512144, 原卖191046535, 调整后买191046535，卖191046535
2015-05-12: 原买215479859, 原卖232532422, 调整后买232532422，卖232532422
2015-05-13: 原买207791916, 原卖216689157, 调整后买216689157，卖216689157
2015-05-14: 原买256359346, 原卖291617205, 调整后买291617205，卖291617205
2015-05-15: 原买259631452, 原卖259631452, 调整后买259631452，卖259631452
2015-05-18: 原买231711882, 原卖258079266, 调整后买258079266，卖258079266
2015-05-19: 原买222816231, 原卖250427699, 调整后买250427699，卖250427699
2015-05-20: 原买244023704, 原卖244023704, 调整后买244023704，卖244023704
2015-05-21: 原买233410685, 原卖262322652, 调整后买262322652，卖262322652
2015-05-22: 原买231292804, 原卖241252378, 调整后买241252378，卖241252378
2015-05-25: 原买252820202, 原卖252820202, 调整后买252820202，卖252820202
2015-05-26: 原买270341981, 原卖313242423, 调整后买313242423，卖313242423
2015-05-27: 原买222611271, 原卖255480421, 调整后买255480421，卖255480421
2015-05-28: 原买326060111, 原卖227360788, 调整后买326060111，卖326060111
2015-05-29: 原买172970994, 原卖218432928, 调整后买218432928，卖218432928
2015-06-01: 原买140079108, 原卖244392955, 调整后买244392955，卖244392955
2015-06-02: 原买290566347, 原卖362363221, 调整后买362363221，卖362363221
2015-06-03: 原买266996737, 原卖266996737, 调整后买266996737，卖266996737
2015-06-04: 原买227352633, 原卖276930310, 调整后买276930310，卖276930310
2015-06-05: 原买343149265, 原卖343149265, 调整后买343149265，卖343149265
2015-06-08: 原买238174060, 原卖251246478, 调整后买251246478，卖251246478
2015-06-09: 原买434169356, 原卖447247116, 调整后买447247116，卖447247116
2015-06-10: 原买241178549, 原卖254425740, 调整后买254425740，卖254425740
2015-06-11: 原买350563089, 原卖363922703, 调整后买363922703，卖363922703
2015-06-12: 原买431938703, 原卖431938703, 调整后买431938703，卖431938703
2015-06-15: 原买337075313, 原卖337075313, 调整后买337075313，卖337075313
2015-06-16: 原买250967164, 原卖252039566, 调整后买252039566，卖252039566
2015-06-17: 原买399260888, 原卖439081273, 调整后买439081273，卖439081273
2015-06-18: 原买6016831, 原卖6016831, 调整后买6016831，卖6016831
